id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_2841,"Giftcard $9000","Vale por $9000 para usar en cualquier producto de la tienda.",https://distopia.com.ar/wp-content/uploads/2022/10/Sin-titulo-3_Mesa-de-trabajo-1-copia-2.jpg,https://distopia.com.ar/producto/giftcard-9000/,"Sin categorizar","Distopía",0ARS,in stock,wc_post_id_2841,,,,0,new,published,,,,,,,
wc_post_id_2838,"Giftcard $3000","Vale por $3000 para usar en cualquier producto de la tienda.",https://distopia.com.ar/wp-content/uploads/2022/10/Sin-titulo-3_Mesa-de-trabajo-1-copia.jpg,https://distopia.com.ar/producto/giftcard-3000/,"Giftcard","Distopía",0ARS,in stock,wc_post_id_2838,,,,0,new,hidden,,,,,,,
wc_post_id_2834,"Giftcard $6000","Vale por $6000 para usar en cualquier producto de la tienda.",https://distopia.com.ar/wp-content/uploads/2022/10/Sin-titulo-3_Mesa-de-trabajo-1.jpg,https://distopia.com.ar/producto/giftcard-6000/,"Giftcard","Distopía",6000ARS,in stock,wc_post_id_2834,,,,0,new,hidden,,,,,,,
wc_post_id_2814,"Remera Vulcano - Segunda Mano - Talle 7 Rosa","La falla de esta prenda se encuentra en la esquina inferior izquierda delantera y consta de una mancha clara de 1 cm de diámetro. 
 
Remera 100% algodón peinado. 
 
La tabla de talles está confeccionada pensando en un rango aproximado de las medidas del cuerpo en una remera diseñada para usarse con un calce justo. Los talles tienden a rendir hacia arriba, es decir que si estás entre dos talles, optá por el más chico. Queda a elección tuya cuánto querés que te ajuste. Cualquier duda, escribinos por WhatsApp.",https://distopia.com.ar/wp-content/uploads/2022/07/Talle-7-rosa-scaled.jpg,https://distopia.com.ar/producto/remera-vulcano-segunda-mano-talle-7-rosa/,"Arriba, Segunda Mano","Distopía",3000ARS,in stock,wc_post_id_2814,,"https://distopia.com.ar/wp-content/uploads/2022/07/Talle-7-rosa-detalle-scaled.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1400ARS,new,published,,,,,,,
wc_post_id_2810,"Remera Vulcano - Segunda Mano - Talle 6 Rosa","La falla de esta prenda se encuentra cerca de la axila delantera y consta de una pequeña mancha como de lápiz de medio cm de largo. 
 
Remera 100% algodón peinado. 
 
La tabla de talles está confeccionada pensando en un rango aproximado de las medidas del cuerpo en una remera diseñada para usarse con un calce justo. Los talles tienden a rendir hacia arriba, es decir que si estás entre dos talles, optá por el más chico. Queda a elección tuya cuánto querés que te ajuste. Cualquier duda, escribinos por WhatsApp.",https://distopia.com.ar/wp-content/uploads/2022/07/Talle-6-rosa-scaled.jpg,https://distopia.com.ar/producto/remera-vulcano-segunda-mano-talle-6-rosa/,"Arriba, Segunda Mano","Distopía",3000ARS,in stock,wc_post_id_2810,,"https://distopia.com.ar/wp-content/uploads/2022/07/Talle-6-rosa-detalle-scaled.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1400ARS,new,published,,,,,,,
wc_post_id_2806,"Remera Vulcano - Segunda Mano - Talle 5 Celeste (2)","La falla de esta prenda se encuentra debajo del busto delantero y consta de una pequeña mancha clara de 1 cm de diámetro. 
 
Remera 100% algodón peinado. 
 
La tabla de talles está confeccionada pensando en un rango aproximado de las medidas del cuerpo en una remera diseñada para usarse con un calce justo. Los talles tienden a rendir hacia arriba, es decir que si estás entre dos talles, optá por el más chico. Queda a elección tuya cuánto querés que te ajuste. Cualquier duda, escribinos por WhatsApp.",https://distopia.com.ar/wp-content/uploads/2022/07/Talle-5-celeste-mancha-grande-scaled.jpg,https://distopia.com.ar/producto/remera-vulcano-segunda-mano-talle-5-celeste-2/,"Arriba, Segunda Mano","Distopía",3000ARS,in stock,wc_post_id_2806,,"https://distopia.com.ar/wp-content/uploads/2022/07/Talle-5-celeste-mancha-grande-detalle-scaled.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1400ARS,new,published,,,,,,,
wc_post_id_2802,"Remera Vulcano - Segunda Mano - Talle 5 Celeste","La falla de esta prenda se encuentra debajo del busto delantero y consta de una pequeña mancha clara de medio cm de diámetro. 
 
Remera 100% algodón peinado. 
 
La tabla de talles está confeccionada pensando en un rango aproximado de las medidas del cuerpo en una remera diseñada para usarse con un calce justo. Los talles tienden a rendir hacia arriba, es decir que si estás entre dos talles, optá por el más chico. Queda a elección tuya cuánto querés que te ajuste. Cualquier duda, escribinos por WhatsApp.",https://distopia.com.ar/wp-content/uploads/2022/07/Talle-5-celeste-mancha-chica-scaled.jpg,https://distopia.com.ar/producto/remera-vulcano-segunda-mano-talle-5-celeste/,"Arriba, Segunda Mano","Distopía",3000ARS,in stock,wc_post_id_2802,,"https://distopia.com.ar/wp-content/uploads/2022/07/Talle-5-celeste-mancha-chica-detalle-scaled.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1400ARS,new,published,,,,,,,
wc_post_id_2778,"Remera Vulcano - Segunda Mano - Talle 1 Celeste","La falla de esta prenda se encuentra en el escote delantero y consta de un pequeño corrimiento en el textil producto de un error de costura. 
 
Remera 100% algodón peinado. 
 
La tabla de talles está confeccionada pensando en un rango aproximado de las medidas del cuerpo en una remera diseñada para usarse con un calce justo. Los talles tienden a rendir hacia arriba, es decir que si estás entre dos talles, optá por el más chico. Queda a elección tuya cuánto querés que te ajuste. Cualquier duda, escribinos por WhatsApp.",https://distopia.com.ar/wp-content/uploads/2022/07/Talle-1-celeste-scaled.jpg,https://distopia.com.ar/producto/remera-vulcano-segunda-mano-talle-1-celeste/,"Arriba, Segunda Mano","Distopía",3000ARS,out of stock,wc_post_id_2778,,"https://distopia.com.ar/wp-content/uploads/2022/07/Talle-1-celeste-detalle-scaled.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1400ARS,new,published,,,,,,,
0001_2601,"Polera Penrose","Talle: 1, Color: Blanco/Gris",https://distopia.com.ar/wp-content/uploads/2022/05/blanca-adelante-scaled.jpg,https://distopia.com.ar/producto/polera-penrose/?attribute_pa_talle=1&attribute_pa_color=blancogris,"Arriba","Distopía",4500ARS,out of stock,0001_2438,,"https://distopia.com.ar/wp-content/uploads/2022/05/negra-adelante-scaled.jpg,https://distopia.com.ar/wp-content/uploads/2022/05/blanca-atras-scaled.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3600ARS,new,published,,,,,,,"talle:1/2/3/4/5/6/7/8/9/10:1"
wc_post_id_2597,"Remera Vulcano","Color: Celeste/Azul, Talle: 10",https://distopia.com.ar/wp-content/uploads/2022/05/rosa-adelante-2-scaled.jpg,https://distopia.com.ar/producto/remera-vulcano/?attribute_pa_color=celesteazul&attribute_pa_talle=10,"Arriba","Distopía",3000ARS,in stock,wc_post_id_2468,,"https://distopia.com.ar/wp-content/uploads/2022/05/rosa-atras-2-scaled.jpg,https://distopia.com.ar/wp-content/uploads/2022/02/3-scaled.jpg,https://distopia.com.ar/wp-content/uploads/2022/05/rosa-adelante-scaled.jpg,https://distopia.com.ar/wp-content/uploads/2022/02/2-scaled.jpg,https://distopia.com.ar/wp-content/uploads/2022/05/rosa-atras-scaled.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2400ARS,new,published,,,,,,,"talle:1/2/3/4/5/6/7/8/9/10:10"
